Wall time,Step,Value
1542189190.8792942,0,0.16833196580410004
1542189191.469631,1,0.016122302040457726
1542189192.0835772,2,0.003481742227450013
1542189192.663124,3,0.0021133506670594215
1542189193.2438145,4,0.0017246954375877976
1542189193.8238113,5,0.0014174121897667646
1542189194.4029615,6,0.001154351863078773
1542189194.98207,7,0.0009255656623281538
1542189195.5627403,8,0.0007246002787724137
1542189196.1517189,9,0.0005611802916973829
1542189196.7334976,10,0.0004312589589972049
1542189197.3150005,11,0.00033896512468345463
1542189197.8956892,12,0.00027634092839434743
1542189198.4748654,13,0.00023477646755054593
1542189199.0784552,14,0.00020895979832857847
1542189199.699574,15,0.00019062076171394438
1542189200.298888,16,0.00017829106946010143
1542189200.8839002,17,0.00016789350775070488
1542189201.468288,18,0.00015729795268271118
1542189202.108067,19,0.00015113968402147293
1542189202.7820823,20,0.00014178479614201933
1542189203.5315816,21,0.00013556591875385493
1542189204.1321871,22,0.00012897270789835602
1542189204.7310276,23,0.00012332556070759892
1542189205.3321383,24,0.00011680286115733907
1542189205.9634418,25,0.00011488276504678652
1542189206.5655308,26,0.00010878390457946807
1542189207.170929,27,0.00010487932013347745
1542189207.7723463,28,0.00010069302516058087
1542189208.3772342,29,9.883748862193897e-05
1542189208.9155443,30,9.558821329846978e-05
1542189209.542541,31,9.587855311110616e-05
1542189210.1919608,32,8.953076030593365e-05
1542189210.8277688,33,8.850514859659597e-05
1542189211.4744954,34,8.665249333716929e-05
1542189212.1016505,35,8.318773325299844e-05
1542189212.7058048,36,8.234662527684122e-05
1542189213.3716526,37,8.034301572479308e-05
1542189213.9700694,38,7.882268255343661e-05
1542189214.5810049,39,7.715119863860309e-05
1542189215.18271,40,7.700065179960802e-05
1542189215.7879384,41,7.384437776636332e-05
1542189216.3860757,42,7.487656694138423e-05
1542189216.959933,43,7.43033378967084e-05
1542189217.537737,44,6.999666220508516e-05
1542189218.1346214,45,6.916646816534922e-05
1542189218.7073362,46,6.619933992624283e-05
1542189219.284404,47,6.506691715912893e-05
1542189219.8587697,48,6.434883107431233e-05
1542189220.4400299,49,6.277952343225479e-05
1542189221.023762,50,6.16254037595354e-05
1542189221.6077182,51,6.103593477746472e-05
1542189222.1825883,52,5.7150915381498635e-05
1542189222.7609558,53,5.7284923968836665e-05
1542189223.3503134,54,5.783328742836602e-05
1542189223.9352217,55,5.4977899708319455e-05
1542189224.5107303,56,5.200349187362008e-05
1542189225.0839996,57,5.2561998018063605e-05
1542189225.660743,58,5.068998507340439e-05
1542189226.244392,59,5.008366861147806e-05
1542189226.8246176,60,4.82993564219214e-05
1542189227.4065335,61,4.884663940174505e-05
1542189227.987724,62,4.6923261834308505e-05
1542189228.5667872,63,4.694669405580498e-05
1542189229.146438,64,4.639699909603223e-05
1542189229.7334218,65,4.2877985833911225e-05
1542189230.3122282,66,4.290850120014511e-05
1542189230.8906841,67,4.176030051894486e-05
1542189231.4664867,68,4.215879744151607e-05
1542189232.045247,69,4.182703196420334e-05
1542189232.6220827,70,4.160278695053421e-05
1542189233.2008176,71,4.0521263144910336e-05
1542189233.7862766,72,3.8965004932833835e-05
1542189234.371362,73,3.901128366123885e-05
1542189234.951536,74,3.7677076761610806e-05
1542189235.5280244,75,3.702389949467033e-05
1542189236.1385012,76,3.722448673215695e-05
1542189236.7196298,77,3.643428499344736e-05
1542189237.304938,78,3.505096901790239e-05
1542189237.8881044,79,3.5230328649049625e-05
1542189238.466888,80,3.4508069802541286e-05
1542189239.048698,81,3.492292671580799e-05
1542189239.632257,82,3.4673164918785915e-05
1542189240.2219822,83,3.3185744541697204e-05
1542189240.811449,84,3.283305704826489e-05
1542189241.3944488,85,3.460315565462224e-05
1542189241.9943104,86,3.227487104595639e-05
1542189242.5587637,87,3.090335303568281e-05
1542189243.1412473,88,3.1235202186508104e-05
1542189243.719566,89,3.0635408620582893e-05
1542189244.3003938,90,3.101417314610444e-05
1542189244.8876987,91,2.9627117328345776e-05
1542189245.4715664,92,3.0557188438251615e-05
1542189246.055334,93,2.9708759029745124e-05
1542189246.6355326,94,2.904654320445843e-05
1542189247.2172775,95,2.785858123388607e-05
1542189247.8051527,96,2.8053975256625563e-05
1542189248.3867218,97,2.7955824407399632e-05
1542189248.9716709,98,2.7930893338634633e-05
1542189249.551044,99,2.6502182663534768e-05
